RecipeId,Name,RecipeIngredientParts,RecipeInstructions,Images
48.0,Boston Cream Pie,"['margarine', 'cake flour', 'baking powder', 'salt', 'sugar', 'vanilla', 'eggs', 'milk', 'sugar', 'cornstarch', 'milk', 'flour', 'salt', 'vanilla', 'butter', 'vanilla']","1. Beat egg whites until soft peaks form.
2. Gradually add 1/2 cup sugar, beating until very stiff peaks form.
3. Sift together remaining dry ingredients into another bowl.
4. Add oil, half the milk and vanilla.
5. Beat 1 minute at medium speed.
6. Add remaining milk and egg yolks.
7. Beat 1 minute, scrape bowl.
8. Gently fold in egg whites.
9. Bake in two greased 9x 1.5-inch round pans in 350°F oven for 25 minutes.
10. Cool 10 minutes and then remove from pans.
11. Cool completely.
12. Fill with cream filling.
13. Frost with Chocolate Glaze.
14. French Custard Filling: In saucepan, combine sugar, flour, cornstarch and salt. Gradually stir in milk.
15. Cook and stir until mixture thickens and boils; cook and stir 2-3 minutes longer.
16. Stir a little of hot mixture into egg yolk; return to hot mixture.
17. Cook and stir until mixture just boils.
18. Add vanilla; cool.
19. Beat until smooth; fold in whipped cream.
20. Chocolate Glaze: Melt chocolate and butter over low heat, stirring constantly.
21. Remove from heat. Stir in confectioners
22. ,
23. ,
24. ,",
49.0,Chicken Breasts Lombardi,"['fresh mushrooms', 'butter', 'boneless skinless chicken breast halves', 'flour', 'butter', 'marsala', 'chicken broth', 'salt', 'mozzarella cheese', 'parmesan cheese', 'green onion']","1. Cook mushrooms in 2 tbsp butter in a large skillet, stirring constantly, just until tender.
2. Remove from heat; set aside. Cut each chicken breast half in half lengthwise. Place each piece of chicken between two sheets of wax paper; flatten to 1/8\
3. ,
4. ,
5. ,
6. baking dish, overlapping edges.
7. Repeat procedure with remaining chicken and butter.
8. Reserve pan drippings in skillet. Sprinkle reserved mushrooms over chicken.
9. Add wine and broth to skillet. Bring to a boil; reduce heat, and simmer, uncovered, 10 minutes, stirring occasionally.
10. Stir in salt and pepper.
11. Pour sauce over chicken.
12. Combine cheeses and green onions; sprinkle over chicken.
13. Bake uncovered at 450 for 12 to 14 minutes.
14. Broil 5 1/2\","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/m1z1F8S5mAZgyImm5zYw_Lombardi%20Chicken%203.jpg"
50.0,Biscotti Di Prato,"['flour', 'sugar', 'baking powder', 'salt', 'eggs', 'vanilla', 'egg', 'water']","1. EGG WASH 1 Egg, large 1 tsp Water In the bowl of an electric mixer fitted with the paddle attachment blend the flour, the sugar, the baking powder, and the salt until the mixture is combined well.
2. In a small bowl, whisk together the whole eggs, the yolks, the vanilla and the almond extract, add the mixture to the flour mixture, beating until a dough is formed, and stir in the almonds.
3. Turn the dough out onto a lightly floured surface, knead it several times, and divide it into fourths.
4. Working on 2 large buttered and floured baking sheets, with floured hands form each piece of dough into a flattish log 11 inches long and 2 inches wide, arrange the logs at least 3 inches apart on the sheets, and brush them with the egg wash.
5. Bake the logs in a preheated 350F oven for 35 minutes and let them cool on the baking sheets on racks for 10 minutes.
6. On a cutting board, cut the logs crosswise on the diagonal into 3/4\
7. ,","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/picyuYoeC.jpg"
51.0,Chai Tea,"['water', 'black tea', 'cinnamon stick', 'milk', 'sugar', 'honey', 'cardamom pods', 'black peppercorns', 'star anise', 'whole cloves', 'whole coriander seed']","1. Bring water and spices to boil in saucepan.
2. Reduce heat, cover and simmer 20 minutes.
3. Add teabags and milk, simmer 3-5 minutes.
4. Add sweetner to taste. Serves 4.
5. (The tea becomes spicier as it sits, may want to strain out spices).",
52.0,Cafe Cappuccino,"['instant coffee', 'sugar', 'nonfat dry milk solid']","1. Stir ingredients together.
2. Process in a blender until powdered.
3. Use 2 Tbsp. of mixture for each cup of hot water.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/picAkC0UW.jpg"
53.0,Jimmy G's Carrot Cake,"['all-purpose flour', 'sugar', 'baking powder', 'baking soda', 'five-spice seasoning', 'carrots', 'walnuts', 'pineapple', 'coconut', 'raisins', 'applesauce', 'eggs']","1. Grease and lightly flour 2 9x1 1/2-inch round baking pans or grease one 13x9x2-inch baking pan.
2. Set pan(s) aside. In a large mixing bowl combine flour, sugar, baking powder, baking soda, and 5 Spice Seasoning.
3. Add carrots, oil, eggs, coconut. Beat with electric mixer till combined.
4. Add walnuts, and raisins and fold into batter.
5. Pour batter into prepared baking pan(s). Bake in a 350~F oven for 30 - 35 minutes for round pans or 35 - 40 minutes for 13x9-inch pan or until a wooden toothpick comes out clean.
6. Cool layer cakes on wire racks for 10 minutes.
7. Remove from pans.
8. Cool thoroughly on wire racks.
9. Or, place 13x9-inch can in pan on a wire rack; cool thoroughly.
10. Frost with Cream Cheese Frosting.
11. Cover and store in refrigerator.",
54.0,Carrot Cake,"['carrots', 'eggs', 'white sugar', 'all-purpose flour', 'baking powder', 'baking soda', 'cinnamon', 'salt', 'nutmeg', 'golden raisin', 'confectioners', ',', ',', ',']","1. Beat together the eggs, oil, and white sugar. Blend mixture for thirty seconds.
2. Sift together flour, baking powder, baking soda, salt and spices. Add the carrots and raisins.
3. Pour egg mixture into dry ingredients, and mix well. Pour batter into well greased 10 inch tube or Bundt pan.
4. Bake at 350 degrees F (175 degrees C) oven for 45 to 50 minutes. Cool cake on wire rack, and then refrigerate until completely cooled.
5. To make Cream Cheese Glaze: Blend together confectioners","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/picQ2X4D8.jpg"
55.0,Betty Crocker's Southwestern Guacamole Dip,"['avocados', 'tomatoes', 'salt', 'garlic', 'lime juice']","1. Peel and mash avocados until lumpy.
2. Add remaining ingredients and chill for 1 - 2 hours.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/piclZzIyA.jpg"
56.0,Buttermilk Pie,"['butter', 'margarine', 'sugar', 'flour', 'eggs', 'salt', 'vanilla', 'buttermilk']","1. Preheat oven to 400°F.
2. Beat the butter and sugar together until light.
3. Add the eggs and beat; then beat in vanilla.
4. Sift the dry ingredients together and add to the batter alternatively with the buttermilk; beat until smooth.
5. Pour into a deep dish pie shell and bake at 400F for 10 minutes, reduce heat to 350F and bake for 50-60 additional minutes.
6. Pie should turn a nice golden brown and a knife inserted should come out clean.
7. I think it is absolutely best when it is just still warm. (Not too hot, or it will be like napalm.).","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/nTwHmSmmRqGCr5HAUapC_pie-1194.jpg"
57.0,Black Bean Salsa,"['black beans', 'tomatoes', 'roma tomatoes', 'green onions', 'garlic', 'cilantro', 'white pepper']","1. Combine all ingredients in a bowl.
2. Serve with tortilla chips.",
58.0,Low-Fat Burgundy Beef & Vegetable Stew,"['beef eye round', 'dried thyme leaves', 'salt', 'pepper', 'ready-to-serve beef broth', 'burgundy wine', 'garlic', 'cornstarch', 'frozen sugar snap peas']","1. Trim fat from beef, cut into 1-inch pieces.
2. In Dutch oven, heat oil over medium high hunt until hot. Add beef (half at a time) and brown evenly, stirring occasionally.
3. Pour off drippings.
4. Season with thyme, salt and pepper.
5. Stir in broth, wine and garlic. Bring to boil; reduce heat to low.
6. Cover tightly and simmer 1 1/2 hours.
7. Add carrots and onions.
8. Cover and continue cooking 35 to 40 minutes or until beef and vegetables are tender.
9. Bring beef stew to a boil over medium-high heat. Add cornstarch mixture; cook and stir 1 minute. Stir in sugar snap peas.
10. Reduce heat to medium and cook 3 to 4 minutes or until peas are heated through.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/picnE8qoe.jpg"
59.0,Lou's Fabulous Bruschetta,"['french baguette', 'butter', 'garlic powder', 'ricotta cheese', 'parmesan cheese', 'salt', 'tomatoes', 'olive oil', 'fresh basil leaves']","1. Cut baguette into slices.
2. Butter and then sprinkle garlic powder each piece, and bake till lightly golden brown.
3. Mix garlic powder, Parmesan cheese, and salt in the ricotta cheese, till a lovely blended taste.
4. Dice tomatoes in small cubes, add Olive Oil, and small strips of fresh basil leaves, cut into thin strips.
5. Spread the ricotta mixture, generously on the cooled garlic bread slices.
6. Top with tomato mixture and bake at 350F for 10 minutes.
7. Enjoy!","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/59/pickKDLXe.jpg"
60.0,Blueberry Dessert,"['bisquick baking mix', 'sugar', 'butter', 'margarine', 'eggs', 'frozen blueberries', 'bisquick baking mix', 'sugar', 'firm butter', 'margarine']","1. Heat oven to 400 degrees.
2. Mix 2 cups baking mix, 1/2 cup sugar, 1/2 cup butter and egg yolks until crumbly.
3. Press into ungreased rectangular pan, 13x9x2\
4. ,
5. ,
6. ,
7. ,",
61.0,Brownie Heart Cake,"['brown sugar', 'butter', 'vanilla', 'eggs', 'all-purpose flour', 'salt', 'white chocolate', 'butter', 'sour cream']","1. CAKE: Grease 5 cup heart shaped pan; dust with unsweetened cocoa
2. powder and set aside. In bowl, blend together brown sugar, butter and vanilla; add eggs, one at a time, beating well with wooden spoon after each addition.
3. Sift together flour, cocoa and salt; add all at once to creamed mixture, mixing just until blended.
4. Stir in nuts; spread in prepared pan.
5. Loosely cover tip of heart with foil to prevent from drying out. Bake in 350xF oven for 35 to 40 minutes or until just barley firm to the touch.
6. Let cool in pan for 10 minutes; turn out onto rack and let cool completely.
7. FROSTING: In top of double boiler over hot, not boiling, water, melt white chocolate with butter.
8. (Alternatively, in microwaveable dish, microwave at Medium/50% for 1 to 2 minutes or until softened.) Remove from heat and let cool slightly; stir in sour cream until smooth and blended.
9. Refrigerate for 10 minutes; spread smoothly over sides then top of cooled cake. GARNISH: Sprinkle cocoa in attractive pattern on top of cake. Arrange almonds around top edge.",
62.0,"Black Bean, Corn, and Tomato Salad","['fresh lemon juice', 'olive oil', 'black beans', 'fresh corn kernels', 'plum tomato', 'scallion', 'fresh parsley leaves', 'cayenne', 'boston lettuce leaves']","1. In a bowl whisk together lemon juice, oil, and salt to taste.
2. Stir in remaining ingredients, except lettuce leaves, with salt and black pepper to taste.
3. Let salad stand, stirring once or twice, 15 minutes for flavors to develop.
4. Line 2 plates with lettuce and divide salad between them.",
63.0,Cabbage and Sausage Soup,"['olive oil', 'italian sausage', 'garlic', 'red pepper flakes', 'salt', 'black pepper', 'sun-dried tomato', 'white wine', 'cabbage']","1. In a medium stockpot or Dutch oven heat olive oil, over high heat, and saute sausage for 3 minutes.
2. Remove with a slotted spoon and set aside. Add onion, garlic, red pepper flakes, salt, pepper and sun dried tomatoes.
3. Reduce heat to medium high and saute until onions are soft, about 3 - 5 minutes.
4. Stir in the wine and cook 2 minutes.
5. Add cabbage, reserved sausage and chicken stock.
6. bring to a boil, reduce heat and simmer 15 minutes.
7. - - - - - - - - - - - - - - - - - - NOTES : To serve, place a piece of garlic toast in the bottom of the bowl and ladle soup over top.",
64.0,Almond Pound Cake,"['butter', 'almond paste', 'sugar', 'eggs', 'flour', 'cornstarch', 'baking powder', 'milk']","1. Preheat oven to 350 degrees Fahrenheit.
2. Cream butter and almond paste until fluffy.
3. Add sugar, gradually add eggs, one at a time. Mix together flour, cornstarch and baking powder, then add flour mixture and milk alternately.
4. Bake in greased 9x5 loaf pan for 1 hour.
5. Double recipe for a bundt pan and bake 75 minute.
6. Cool 10 min in pan, then turn out and cool completely.
7. Serve with powdered sugar, orange glaze or chocolate glaze.",
66.0,Black Coffee Barbecue Sauce,"['brewed coffee', 'ketchup', 'red wine vinegar', 'dark brown sugar', 'onion', 'garlic cloves', 'dark molasses', 'hot dry mustard', 'worcestershire sauce', 'cumin', 'chili powder']","1. Combine all ingredients in a saucepan and simmer over low heat for 20 minutes.
2. Cool, then puree in a blender or food processor until smooth.
3. This can be stored in the refrigerator for up to 2 weeks in a covered container.","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/66/pic6Ysx4x.jpg"
67.0,Bourbon Pecan Pound Cake,"['butter', 'sugar', 'eggs', 'cake flour', 'baking powder', 'salt', 'nutmeg', 'sour cream', 'bourbon', 'pecans', 'powdered sugar', 'bourbon', 'water']","1. Combine butter and sugar in bowl of electric mixer and blend until light and fluffy.
2. Add eggs one at a time, beating constantly.
3. Sift together flour, baking powder, salt, and nutmeg.
4. Blend sour cream and bourbon.
5. Alternately add flour and sour cream mixture to batter.
6. Add pecans.
7. Grease bottom and sides of tube or bunt pan.
8. Pour in batter and bake at 325 degrees for about one hour and 30 minutes.
9. Test cake frequently after first hour and 15 minutes for doneness.
10. Let cake cool in pan for 15 minutes before turning out on wire rack.
11. To prepare glaze, combine sugar and bourbon.
12. Stir while gradually adding water.
13. Add only enough water to make a pourable glaze without allowing mixture to become too thin.
14. Pour glaze over top of warm cake and let dribble down sides.",
68.0,Chicago Style Pizza,"['dry yeast', 'water', 'sugar', 'salt', 'flour', 'cornmeal', 'mozzarella cheese', 'oregano', 'pepper', 'green pepper', 'mushroom', 'parmesan cheese']","1. For crust, dissolve yeast in water.
2. Add sugar, salt and 2 tablespoons oil.
3. Stir in flour to make a soft dough.
4. Turn out onto well floured board.
5. Knead about 3 minutes.
6. Put in greased bowl; cover and let rise in warm place about 1 1/2 hours.
7. Brush a 14-inch deep-dish pizza pan with 2 tablespoons oil; sprinkle with corn meal.
8. Punch dough down; press in bottom of pan.
9. Let rise 30 minutes.
10. Punch down again, lightly coat with olive oil.
11. Cook at 450 degrees for about 10 minutes until set. (Punch down dough after 5 minutes or so.) Arrange cheese over dough.
12. Place pepperoni, olives, peppers and mushrooms over cheese. Spread pizza sauce. Sprinkle with oregano, crushed pepper and Parmesan cheese. Place pizza in oven and cook at 450 degrees until cheese is melted and crust is golden (about 20 to 25 minutes). Makes 8 slices.",
